path,url,title,h1,meta_description,canonical,word_count,in_sitemap
about.html,https://betsorted.co.za/about.html,About BetSorted | Independent SA Betting Comparison,About BetSorted,About BetSorted: South Africa,https://betsorted.co.za/about.html,667,yes
accumulator-calculator.html,https://betsorted.co.za/accumulator-calculator.html,Accumulator Calculator South Africa | Free Acca Calculator,Accumulator Calculator South Africa,"Accumulator calculator South Africa: Build your acca, calculate total odds, potential returns and profit in Rands. Free acca calculator for SA punters.",https://betsorted.co.za/accumulator-calculator.html,1134,yes
arbitrage-calculator.html,https://betsorted.co.za/arbitrage-calculator.html,Arbitrage Calculator South Africa | BetSorted,📊 Arbitrage Calculator,Free arbitrage calculator for South Africa. Find guaranteed profits by backing all outcomes across SA bookmakers.,https://betsorted.co.za/arbitrage-calculator.html,281,yes
bankroll-tracker.html,https://betsorted.co.za/bankroll-tracker.html,Betting Bankroll Tracker South Africa | BetSorted,📒 Betting Bankroll Tracker,"Free betting bankroll tracker for South Africa. Log your bets, track profit and loss, calculate ROI. All data saved locally — no account needed.",https://betsorted.co.za/bankroll-tracker.html,178,yes
best-betting-apps.html,https://betsorted.co.za/best-betting-apps.html,7 Best Betting Apps South Africa (2026) | Tested & Ranked,Best Betting Apps South Africa 2026,"Best betting apps in South Africa for 2026. Tested and ranked with honest pros, cons, payout speed, and odds notes.",https://betsorted.co.za/best-betting-apps.html,3134,yes
best-betting-sites-south-africa.html,https://betsorted.co.za/best-betting-sites-south-africa.html,All SA Betting Sites Ranked 2026 | BetSorted,All SA Betting Sites Ranked 2026,"All SA betting sites ranked for 2026. Compare licensed South African bookmakers by minimum deposit, withdrawals, FICA, data-free access, sports coverage.",https://betsorted.co.za/best-betting-sites-south-africa.html,2022,yes
best-odds-finder.html,https://betsorted.co.za/best-odds-finder.html,Best Odds Finder SA | Odds Benchmark Tool | BetSorted,🎯 Best Odds Finder,Use exchange-derived fair odds and international reference prices as a benchmark before checking licensed South African bookmakers directly.,https://betsorted.co.za/best-odds-finder.html,12287,yes
betting-bonuses-south-africa.html,https://betsorted.co.za/betting-bonuses-south-africa.html,Betting Bonuses South Africa (2026) | What Actually Matters,Betting Bonuses South Africa: What Actually Matters,"A practical guide to betting bonuses in South Africa. Learn rollover rules, free bets, and how to avoid promo traps.",https://betsorted.co.za/betting-bonuses-south-africa.html,235,yes
betting-calculator.html,https://betsorted.co.za/betting-calculator.html,Betting Calculator South Africa | Free Odds Converter,Betting Calculator South Africa,"Betting calculator South Africa: calculate returns, convert decimal, fractional and American odds, and compare payouts in seconds. Free and mobile friendly.",https://betsorted.co.za/betting-calculator.html,620,yes
betway-vs-hollywoodbets.html,https://betsorted.co.za/betway-vs-hollywoodbets.html,Redirecting…,,,https://betsorted.co.za/blog/betway-vs-hollywoodbets.html,27,no
