slug,field,homepage_value,csv_value,review_page_value,operator_tandcs_url,confirmed_value,confirmed_by,confirmed_date
10bet,rating.value,4.1,,,,,,
10bet,welcome_bonus.headline,100% Deposit Match up to R500,,,,,,
10bet,welcome_bonus.min_deposit_zar,50,,,,,,
10bet,welcome_bonus.wagering,,,,,,,
10bet,welcome_bonus.min_odds,,,,,,,
10bet,welcome_bonus.promo_code,,,,,,,
10bet,payments.deposit_methods,,,,,,,
10bet,payout.typical_hours,,,,,,,
10bet,welcome_bonus.type,,,,,,,
10bet,welcome_bonus.match_rate,,,,,,,
10bet,welcome_bonus.max_bonus_zar,,,,,,,
10bet,welcome_bonus.fixed_bonus_zar,,,,,,,
10bet,welcome_bonus.wagering_multiple,,,,,,,
10bet,welcome_bonus.wagering_applies_to,,,,,,,
10bet,welcome_bonus.expiry_days,,,,,,,
bet-co-za,rating.value,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.headline,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.min_deposit_zar,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.wagering,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.min_odds,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.promo_code,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,payments.deposit_methods,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,payout.typical_hours,,,,https://www.bet.co.za/terms-and-conditions,,,
bet-co-za,welcome_bonus.type,,,,,,,
bet-co-za,welcome_bonus.match_rate,,,,,,,
bet-co-za,welcome_bonus.max_bonus_zar,,,,,,,
bet-co-za,welcome_bonus.fixed_bonus_zar,,,,,,,
bet-co-za,welcome_bonus.wagering_multiple,,,,,,,
bet-co-za,welcome_bonus.wagering_applies_to,,,,,,,
bet-co-za,welcome_bonus.expiry_days,,,,,,,
betfred,rating.value,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.headline,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.min_deposit_zar,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.wagering,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.min_odds,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.promo_code,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,payments.deposit_methods,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,payout.typical_hours,,,,https://betfred.co.za/terms-and-conditions,,,
betfred,welcome_bonus.type,,,,,,,
betfred,welcome_bonus.match_rate,,,,,,,
betfred,welcome_bonus.max_bonus_zar,,,,,,,
betfred,welcome_bonus.fixed_bonus_zar,,,,,,,
betfred,welcome_bonus.wagering_multiple,,,,,,,
betfred,welcome_bonus.wagering_applies_to,,,,,,,
betfred,welcome_bonus.expiry_days,,,,,,,
betmaster,rating.value,,,,,,,
betmaster,welcome_bonus.headline,,,,,,,
betmaster,welcome_bonus.min_deposit_zar,,,,,,,
betmaster,welcome_bonus.wagering,,,,,,,
betmaster,welcome_bonus.min_odds,,,,,,,
betmaster,welcome_bonus.promo_code,,,,,,,
betmaster,payments.deposit_methods,,,,,,,
betmaster,payout.typical_hours,,,,,,,
betmaster,welcome_bonus.type,,,,,,,
betmaster,welcome_bonus.match_rate,,,,,,,
betmaster,welcome_bonus.max_bonus_zar,,,,,,,
betmaster,welcome_bonus.fixed_bonus_zar,,,,,,,
betmaster,welcome_bonus.wagering_multiple,,,,,,,
betmaster,welcome_bonus.wagering_applies_to,,,,,,,
betmaster,welcome_bonus.expiry_days,,,,,,,
betolimp,rating.value,,,,,,,
betolimp,welcome_bonus.headline,,,,,,,
betolimp,welcome_bonus.min_deposit_zar,,,,,,,
betolimp,welcome_bonus.wagering,,,,,,,
betolimp,welcome_bonus.min_odds,,,,,,,
betolimp,welcome_bonus.promo_code,,,,,,,
betolimp,payments.deposit_methods,,,,,,,
betolimp,payout.typical_hours,,,,,,,
betolimp,welcome_bonus.type,,,,,,,
betolimp,welcome_bonus.match_rate,,,,,,,
betolimp,welcome_bonus.max_bonus_zar,,,,,,,
betolimp,welcome_bonus.fixed_bonus_zar,,,,,,,
betolimp,welcome_bonus.wagering_multiple,,,,,,,
betolimp,welcome_bonus.wagering_applies_to,,,,,,,
betolimp,welcome_bonus.expiry_days,,,,,,,
betshezi,rating.value,,,,,,,
betshezi,welcome_bonus.headline,,,,,,,
betshezi,welcome_bonus.min_deposit_zar,,,,,,,
betshezi,welcome_bonus.wagering,,,,,,,
betshezi,welcome_bonus.min_odds,,,,,,,
